construct_cases_rejected,construct_cases_accepted,maximum_usable_n,source_can_supply_181,pessimistic_benefit_power_at_maximum_n,safety_power_at_maximum_n,safety_max_passing_events,joint_power_lower_bound_at_maximum_n,joint_target_met_at_maximum_n
0,76,200,True,0.889051316,0.948253736,4,0.837305053,True
1,75,199,True,0.887552617,0.94914682,4,0.836699437,True
2,74,198,True,0.886033849,0.950030792,4,0.836064642,True
3,73,197,True,0.88449472,0.950905655,4,0.835400376,True
4,72,196,True,0.882934935,0.951771412,4,0.834706347,True
5,71,195,True,0.881354195,0.952628067,4,0.833982262,True
6,70,194,True,0.879752204,0.953475625,4,0.833227828,True
7,69,193,True,0.878128659,0.954314092,4,0.832442751,True
8,68,192,True,0.876483261,0.955143475,4,0.831626736,True
9,67,191,True,0.874815705,0.955963783,4,0.830779488,True
10,66,190,True,0.873125688,0.956775024,4,0.829900712,True
11,65,189,True,0.871412906,0.957577208,4,0.828990114,True
12,64,188,True,0.869677053,0.958370345,4,0.828047399,True
13,63,187,True,0.867917824,0.959154449,4,0.827072273,True
14,62,186,True,0.866134913,0.959929531,4,0.826064444,True
15,61,185,True,0.864328014,0.960695606,4,0.825023619,True
16,60,184,True,0.862496821,0.961452687,4,0.823949508,True
17,59,183,True,0.860641029,0.962200792,4,0.82284182,True
18,58,182,True,0.858760334,0.962939935,4,0.821700269,True
19,57,181,True,0.856854434,0.963670136,4,0.82052457,True
20,56,180,False,0.854923026,0.892263758,3,0.747186784,False
21,55,179,False,0.852965812,0.893866595,3,0.746832407,False
22,54,178,False,0.850982495,0.895458487,3,0.746440982,False
23,53,177,False,0.848972779,0.897039359,3,0.746012138,False
24,52,176,False,0.846936375,0.898609134,3,0.745545509,False
25,51,175,False,0.844872995,0.900167737,3,0.745040732,False
26,50,174,False,0.842782357,0.901715095,3,0.744497452,False
27,49,173,False,0.840664183,0.903251135,3,0.743915317,False
28,48,172,False,0.8385182,0.904775785,3,0.743293985,False
29,47,171,False,0.836344144,0.906288974,3,0.742633118,False
30,46,170,False,0.834141756,0.907790632,3,0.741932388,False
31,45,169,False,0.831910785,0.909280691,3,0.741191476,False
32,44,168,False,0.829650988,0.910759084,3,0.740410072,False
33,43,167,False,0.827362133,0.912225743,3,0.739587875,False
34,42,166,False,0.825043996,0.913680603,3,0.738724599,False
35,41,165,False,0.822696366,0.915123601,3,0.737819967,False
36,40,164,False,0.820319042,0.916554673,3,0.736873716,False
37,39,163,False,0.817911838,0.917973758,3,0.735885596,False
38,38,162,False,0.815474578,0.919380795,3,0.734855373,False
39,37,161,False,0.813007102,0.920775725,3,0.733782828,False
40,36,160,False,0.810509266,0.922158491,3,0.732667757,False
41,35,159,False,0.80798094,0.923529035,3,0.731509974,False
42,34,158,False,0.805422009,0.924887302,3,0.730309312,False
43,33,157,False,0.802832379,0.926233239,3,0.729065618,False
44,32,156,False,0.800211969,0.927566793,3,0.727778761,False
45,31,155,False,0.797560717,0.928887912,3,0.726448629,False
46,30,154,False,0.794878579,0.930196549,3,0.725075127,False
47,29,153,False,0.792165528,0.931492653,3,0.723658181,False
48,28,152,False,0.789421558,0.804423617,2,0.593845175,False
49,27,151,False,0.786646675,0.806956891,2,0.593603566,False
50,26,150,False,0.783840907,0.809481862,2,0.593322769,False
51,25,149,False,0.781004297,0.811998331,2,0.593002628,False
52,24,148,False,0.778136901,0.8145061,2,0.592643001,False
53,23,147,False,0.775238795,0.817004968,2,0.592243763,False
54,22,146,False,0.772310064,0.819494736,2,0.5918048,False
55,21,145,False,0.769350806,0.821975203,2,0.591326008,False
56,20,144,False,0.76636113,0.824446165,2,0.590807295,False
57,19,143,False,0.763341153,0.826907421,2,0.590248574,False
58,18,142,False,0.760290997,0.829358768,2,0.589649764,False
59,17,141,False,0.757210788,0.831800001,2,0.589010789,False
60,16,140,False,0.754100655,0.834230915,2,0.58833157,False
61,15,139,False,0.750960723,0.836651306,2,0.587612029,False
62,14,138,False,0.747791111,0.839060968,2,0.58685208,False
63,13,137,False,0.744591935,0.841459695,2,0.586051629,False
64,12,136,False,0.741363293,0.843847279,2,0.585210573,False
65,11,135,False,0.738105275,0.846223515,2,0.58432879,False
66,10,134,False,0.734817948,0.848588193,2,0.583406141,False
67,9,133,False,0.731501359,0.850941108,2,0.582442466,False
68,8,132,False,0.72815553,0.853282049,2,0.581437579,False
69,7,131,False,0.724780455,0.855610809,2,0.580391264,False
70,6,130,False,0.721376093,0.857927179,2,0.579303273,False
71,5,129,False,0.717942372,0.860230951,2,0.578173323,False
72,4,128,False,0.714479177,0.862521914,2,0.577001091,False
73,3,127,False,0.710986353,0.864799861,2,0.575786215,False
74,2,126,False,0.707463702,0.867064582,2,0.574528284,False
75,1,125,False,0.703910976,0.869315868,2,0.573226844,False
76,0,124,False,0.70032788,0.87155351,2,0.571881389,False
