retained_total_cases,retained_construct_review_cases,excluded_construct_review_cases,pessimistic_benefit_power,safety_power,safety_max_passing_events,joint_power_lower_bound,joint_target_met
124,0,57,0.70032788,0.87155351,2,0.571881389,False
125,1,56,0.703910976,0.869315868,2,0.573226844,False
126,2,55,0.707463702,0.867064582,2,0.574528284,False
127,3,54,0.710986353,0.864799861,2,0.575786215,False
128,4,53,0.714479177,0.862521914,2,0.577001091,False
129,5,52,0.717942372,0.860230951,2,0.578173323,False
130,6,51,0.721376093,0.857927179,2,0.579303273,False
131,7,50,0.724780455,0.855610809,2,0.580391264,False
132,8,49,0.72815553,0.853282049,2,0.581437579,False
133,9,48,0.731501359,0.850941108,2,0.582442466,False
134,10,47,0.734817948,0.848588193,2,0.583406141,False
135,11,46,0.738105275,0.846223515,2,0.58432879,False
136,12,45,0.741363293,0.843847279,2,0.585210573,False
137,13,44,0.744591935,0.841459695,2,0.586051629,False
138,14,43,0.747791111,0.839060968,2,0.58685208,False
139,15,42,0.750960723,0.836651306,2,0.587612029,False
140,16,41,0.754100655,0.834230915,2,0.58833157,False
141,17,40,0.757210788,0.831800001,2,0.589010789,False
142,18,39,0.760290997,0.829358768,2,0.589649764,False
143,19,38,0.763341153,0.826907421,2,0.590248574,False
144,20,37,0.76636113,0.824446165,2,0.590807295,False
145,21,36,0.769350806,0.821975203,2,0.591326008,False
146,22,35,0.772310064,0.819494736,2,0.5918048,False
147,23,34,0.775238795,0.817004968,2,0.592243763,False
148,24,33,0.778136901,0.8145061,2,0.592643001,False
149,25,32,0.781004297,0.811998331,2,0.593002628,False
150,26,31,0.783840907,0.809481862,2,0.593322769,False
151,27,30,0.786646675,0.806956891,2,0.593603566,False
152,28,29,0.789421558,0.804423617,2,0.593845175,False
153,29,28,0.792165528,0.931492653,3,0.723658181,False
154,30,27,0.794878579,0.930196549,3,0.725075127,False
155,31,26,0.797560717,0.928887912,3,0.726448629,False
156,32,25,0.800211969,0.927566793,3,0.727778761,False
157,33,24,0.802832379,0.926233239,3,0.729065618,False
158,34,23,0.805422009,0.924887302,3,0.730309312,False
159,35,22,0.80798094,0.923529035,3,0.731509974,False
160,36,21,0.810509266,0.922158491,3,0.732667757,False
161,37,20,0.813007102,0.920775725,3,0.733782828,False
162,38,19,0.815474578,0.919380795,3,0.734855373,False
163,39,18,0.817911838,0.917973758,3,0.735885596,False
164,40,17,0.820319042,0.916554673,3,0.736873716,False
165,41,16,0.822696366,0.915123601,3,0.737819967,False
166,42,15,0.825043996,0.913680603,3,0.738724599,False
167,43,14,0.827362133,0.912225743,3,0.739587875,False
168,44,13,0.829650988,0.910759084,3,0.740410072,False
169,45,12,0.831910785,0.909280691,3,0.741191476,False
170,46,11,0.834141756,0.907790632,3,0.741932388,False
171,47,10,0.836344144,0.906288974,3,0.742633118,False
172,48,9,0.8385182,0.904775785,3,0.743293985,False
173,49,8,0.840664183,0.903251135,3,0.743915317,False
174,50,7,0.842782357,0.901715095,3,0.744497452,False
175,51,6,0.844872995,0.900167737,3,0.745040732,False
176,52,5,0.846936375,0.898609134,3,0.745545509,False
177,53,4,0.848972779,0.897039359,3,0.746012138,False
178,54,3,0.850982495,0.895458487,3,0.746440982,False
179,55,2,0.852965812,0.893866595,3,0.746832407,False
180,56,1,0.854923026,0.892263758,3,0.747186784,False
181,57,0,0.856854434,0.963670136,4,0.82052457,True
