code_selected,email_selected,table_selected,code_missing,email_missing,total_missing,full_pool_bounded_mean_interval_width,full_pool_paired_contrast_interval_width,code_bounded_mean_interval_width,email_bounded_mean_interval_width,worst_source_bounded_mean_interval_width,worst_source_paired_contrast_interval_width
31,50,100,19,0,19,0.095,0.19,0.38,0.0,0.38,0.76
32,49,100,18,1,19,0.095,0.19,0.36,0.02,0.36,0.72
33,48,100,17,2,19,0.095,0.19,0.34,0.04,0.34,0.68
34,47,100,16,3,19,0.095,0.19,0.32,0.06,0.32,0.64
35,46,100,15,4,19,0.095,0.19,0.3,0.08,0.3,0.6
36,45,100,14,5,19,0.095,0.19,0.28,0.1,0.28,0.56
37,44,100,13,6,19,0.095,0.19,0.26,0.12,0.26,0.52
38,43,100,12,7,19,0.095,0.19,0.24,0.14,0.24,0.48
39,42,100,11,8,19,0.095,0.19,0.22,0.16,0.22,0.44
40,41,100,10,9,19,0.095,0.19,0.2,0.18,0.2,0.4
41,40,100,9,10,19,0.095,0.19,0.18,0.2,0.2,0.4
42,39,100,8,11,19,0.095,0.19,0.16,0.22,0.22,0.44
43,38,100,7,12,19,0.095,0.19,0.14,0.24,0.24,0.48
44,37,100,6,13,19,0.095,0.19,0.12,0.26,0.26,0.52
45,36,100,5,14,19,0.095,0.19,0.1,0.28,0.28,0.56
46,35,100,4,15,19,0.095,0.19,0.08,0.3,0.3,0.6
47,34,100,3,16,19,0.095,0.19,0.06,0.32,0.32,0.64
48,33,100,2,17,19,0.095,0.19,0.04,0.34,0.34,0.68
49,32,100,1,18,19,0.095,0.19,0.02,0.36,0.36,0.72
50,31,100,0,19,19,0.095,0.19,0.0,0.38,0.38,0.76
