code_construct_accepted,email_sentinel_accepted,table_cases,email_cases,code_cases,table_weight,email_weight,code_weight,total_variation_from_full_pool,sharp_bounded_mean_gap,sharp_paired_contrast_gap
31,26,100,50,31,0.552486188,0.276243094,0.171270718,0.078729282,0.078729282,0.157458564
32,25,100,49,32,0.552486188,0.270718232,0.17679558,0.07320442,0.07320442,0.14640884
33,24,100,48,33,0.552486188,0.26519337,0.182320442,0.067679558,0.067679558,0.135359116
34,23,100,47,34,0.552486188,0.259668508,0.187845304,0.062154696,0.062154696,0.124309392
35,22,100,46,35,0.552486188,0.254143646,0.193370166,0.056629834,0.056629834,0.113259669
36,21,100,45,36,0.552486188,0.248618785,0.198895028,0.052486188,0.052486188,0.104972376
37,20,100,44,37,0.552486188,0.243093923,0.20441989,0.052486188,0.052486188,0.104972376
38,19,100,43,38,0.552486188,0.237569061,0.209944751,0.052486188,0.052486188,0.104972376
39,18,100,42,39,0.552486188,0.232044199,0.215469613,0.052486188,0.052486188,0.104972376
40,17,100,41,40,0.552486188,0.226519337,0.220994475,0.052486188,0.052486188,0.104972376
41,16,100,40,41,0.552486188,0.220994475,0.226519337,0.052486188,0.052486188,0.104972376
42,15,100,39,42,0.552486188,0.215469613,0.232044199,0.052486188,0.052486188,0.104972376
43,14,100,38,43,0.552486188,0.209944751,0.237569061,0.052486188,0.052486188,0.104972376
44,13,100,37,44,0.552486188,0.20441989,0.243093923,0.052486188,0.052486188,0.104972376
45,12,100,36,45,0.552486188,0.198895028,0.248618785,0.052486188,0.052486188,0.104972376
46,11,100,35,46,0.552486188,0.193370166,0.254143646,0.056629834,0.056629834,0.113259669
47,10,100,34,47,0.552486188,0.187845304,0.259668508,0.062154696,0.062154696,0.124309392
48,9,100,33,48,0.552486188,0.182320442,0.26519337,0.067679558,0.067679558,0.135359116
49,8,100,32,49,0.552486188,0.17679558,0.270718232,0.07320442,0.07320442,0.14640884
50,7,100,31,50,0.552486188,0.171270718,0.276243094,0.078729282,0.078729282,0.157458564
